Санкт-Петербург;spb;59.9948658647,30.2096557617
Щербинка;shcherbinka;55.499763,37.576847
Щелково;shchelkovo;55.917469,38.01144
Элиста;elista;46.312962,44.25346
Электрогорск;elektrogorsk;55.883049,38.78043
Электросталь;elektrostal;55.786968,38.435619
Электроугли;elektrougli;55.728657,38.197746
Энгельс;engels;51.479679,46.110069
Егорлык;egorlyk;46.293217,41.785385
Егорлыкская;egorlykskaya;46.570709,40.66618
Егорьевск;egorevsk;55.380039,39.03569
Ерофей-Павлович;erofey-pavlovich;53.963181,121.954376
Елабуга;elabuga;55.761799,52.06139
Елань;elan;50.949039,43.723301
Екатеринбург;ekaterinburg;56.837814,60.596844
Елизово;elizovo;53.182995,158.382339
Ейск;eysk;46.691879,38.285641
Елец;elets;52.622028,38.50526
Еманжелинск;emanzhelinsk;54.752899,61.32476
Ессентуки;essentuki;44.049809,42.857239
Ефремов;efremov;53.13905,38.113689
Далматово;dalmatovo;56.26442,62.932629
Дальнегорск;dalnegorsk;44.560822,135.570251
Дальнереченск;dalnerechensk;45.928711,133.738235
Дзержинск;dzerzhinsk;56.23542,43.445271
Дзержинский;dzerzhinskiy;55.628078,37.839806
Дивногорск;divnogorsk;55.95023,92.375107
Дивное;divnoe;45.909531,43.348949
Жигулевск;zhigulevsk;53.411221,49.534931
Жирновск;zhirnovsk;50.981674,44.772907
Димитровград;dimitrovgrad;54.22364,49.615059
Добрянка;dobryanka;58.4603,56.408859
Долгопрудный;dolgoprudnyy;55.929729,37.52457
Дмитров;dmitrov;56.362499,37.541111
Домодедово;domodedovo;55.45541,37.75779
Донецк;donetsk;48.337929,39.96183
Дубна;dubna;56.755192,37.139721
Дубовка;dubovka;49.058788,44.817429
Жуковка;zhukovka;53.538971,33.736179
Жуковский;zhukovskiy;55.59325,38.11961
Дудинка;dudinka;69.40834,86.181664
Железногорск;zheleznogorsk;52.325729,35.369381
Железногорск-Илимский;zheleznogorsk-ilimskiy;56.57505,104.11747
Железноводск;zheleznovodsk;44.14278,43.01672
Железнодорожный;zheleznodorozhnyy;55.747391,38.006859
Демидово;demidovo;55.397949,40.300636
Десногорск;desnogorsk;54.154793,33.28651
Дедовск;dedovsk;55.86174,37.130245
Цимлянск;tsimlyansk;47.65102,42.090672
Целина;tselina;46.529099,41.02702
Чайковский;chaykovskiy;56.764381,54.106319
Чалтырь;chaltyr;47.28653,39.50238
Чапаевск;chapaevsk;52.969608,49.69286
Чамзинка;chamzinka;54.413338,45.791187
Чита;chita;52.045429,113.498627
Чусовой;chusovoy;58.288189,57.82666
Чудово;chudovo;59.126831,31.681545
Чебаркуль;chebarkul;54.99313,60.38583
Чебоксары;cheboksary;56.137451,47.24403
Чегдомын;chegdomyn;51.116901,132.977478
Черкесск;cherkessk;44.23085,42.06477
Черниговка;chernigovka;44.340469,132.56311
Черногорск;chernogorsk;53.826839,91.301826
Черноголовка;chernogolovka;56.012989,38.388531
Чернушка;chernushka;56.502522,56.087399
Чернышевск;chernyshevsk;52.530739,117.021461
Черняховск;chernyakhovsk;54.636921,21.807932
Чертково;chertkovo;49.39061,40.142071
Череповец;cherepovets;59.129822,38.001308
Челябинск;chelyabinsk;55.159889,61.40258
Чехов;chekhov;55.142399,37.460979
Шарыпово;sharypovo;55.53159,89.204712
Шарья;sharya;58.36615,45.512409
Шатура;shatura;55.574421,39.541531
Шахунья;shakhunya;57.66819,46.600861
Шахты;shakhty;47.708519,40.215309
Шадринск;shadrinsk;56.0877,63.636089
Шилка;shilka;51.861012,116.028931
Шимановск;shimanovsk;52.00951,127.65593
Шумиха;shumikha;55.231621,63.288391
Шумерля;shumerlya;55.490311,46.428989
Шебекино;shebekino;50.405899,36.890636
Шерегеш;sheregesh;52.920509,87.995369
Шелехов;shelekhov;52.205914,104.098572
Юбилейный;yubileynyy;55.935696,37.836895
Югорск;yugorsk;61.316666,63.333332
Юрга;yurga;55.734509,84.879967
Южно-Сахалинск;yuzhno-sakhalinsk;46.961262,142.731979
Южноуральск;yuzhnouralsk;54.44492,61.24419
Яранск;yaransk;57.30722,47.864239
Ярославль;yaroslavl;57.6301,39.865631
Ярцево;yartsevo;55.059761,32.68528
Яковлевка;yakovlevka;44.42178,133.467896
Якутск;yakutsk;62.039261,129.746399
Янаул;yanaul;56.280769,54.933048
Ясный;yasnyy;51.022987,59.873898
Ядрин;yadrin;55.93977,46.20237
Юрюзань;yuryuzan;54.878601,58.430759
Вязовая;vyazovaya;54.906101,58.37431
Каспийск;kaspiysk;42.882751,47.638248
Яхрома;yakhroma;56.294109,37.484669
Апрелевка;aprelevka;55.5453,37.06192
Покров;pokrov;55.916515,39.167343
